Album,Artist,Song,Year
Pump It Up 88,Cher,I Found Someone,88
Pump It Up 88,Johnny Logan,Hold Me Now,88
Pump It Up 88,Fleetwood Mac,Everywhere,88
Pump It Up 88,Men Without Hats,Pop Goes The World,88
Pump It Up 88,Jerry Harrison: Casual Gods,Rev It Up,88
Summer 88,Bee Gees,You Win Again,88
Summer 88,Bon Jovi,Never Say Goodbye,88
Summer 88,Boom Crash Opera,Her Charity,88
Summer 88,Chris Rea,Let's Dance,88
Summer 88,Dead Or Alive,I'll Save You All My Kisses,88
Summer 88,Fleetwood Mac,Little Lies,88
Summer 88,Glenn Medeiros,Nothing's Gonna Change My Love For You,88
Summer 88,Huxton Creepers,Pretty Flamingo,88
Summer 88,INXS,Need You Tonight,88
Summer 88,Jenny Morris,Lighthearted,88
Summer 88,John Farnham,Reasons,88
Summer 88,Los Lobos,La Bamba,88
Summer 88,Mental As Anything,Don't Tell Me Now,88
Summer 88,Sharon O'Neill,Physical Favours,88
Summer 88,Terence Trent D'Arby,Wishing Well,88
Summer 88,The Party Boys,Hold Your Head Up,88
Summer 88,Wax,Bridge To Your Heart,88
Summer 88,Whitney Houston,Didn't We Almost Have It All,88
1989 Be Happy,Bobby Mc Ferrin,Don't Worry Be Happy,89
1989 Be Happy,Climie Fisher,Love Changes (Everything),89
1989 Be Happy,Crowded House,When You Come,89
1989 Be Happy,Duran Duran,I Don't Want Your Love,89
1989 Be Happy,James Reyne,Always The Way,89
1989 Be Happy,Jason Donovan,Nothing Can Divide Us,89
1989 Be Happy,Johnny Diesel & The Injectors,Don't Need Love,89
1989 Be Happy,Keith Richards,Take It So Hard,89
1989 Be Happy,Kylie Minogue,I Still Love You (Je Ne Sais Pas Porquoi),89
1989 Be Happy,Masters Apprentices,Because I Love You,89
1989 Be Happy,Melissa Etheridge,Bring Me Some Water,89
1989 Be Happy,Pat Benatar,Don't Walk Away,89
1989 Be Happy,Sam Brown,Stop,89
1989 Be Happy,The Chantoozies,Kiss 'N' Tell,89
1989 Be Happy,The Cockroaches,You & Me,89
1989 Be Happy,Toni Childs,Stop Your Fussin',89
1989 Be Happy,U2,Desire,89
1989 Be Happy,Womack & Womack,Teardrops,89
Everyones A Hit,Billy Joel,A Matter Of Trust,89
Everyones A Hit,Billy Ocean,Get Outa My Dreams Get Into My Car,89
Everyones A Hit,Cheap Trick,Don't Be Cruel,89
Everyones A Hit,Clarence Carter,Strokin',89
Everyones A Hit,Dukes Of Earlwood,Duke Of Earl,89
Everyones A Hit,Eurogliders,Groove,89
Everyones A Hit,Fairground Attraction,Perfect,89
Everyones A Hit,Fischer Z,The Perfect Day,89
Everyones A Hit,Martha Davis,Don't Tell Me The Time,89
Everyones A Hit,Maxi Priest,Wild World,89
Everyones A Hit,Natalie Cole,Pink Cadillac,89
Everyones A Hit,Poison,Nothin' But A Good Time,89
Everyones A Hit,Richard Marx,Endless Summer Nights,89
Everyones A Hit,Roy Orbison,You Got It,89
Everyones A Hit,S'Express,Theme From S'Express,89
Everyones A Hit,The Timelords,Doctorin' The Tardis,89
Everyones A Hit,UB40,Where Did I Go Wrong,89
Everyones A Hit,Yazz,The Only Way Is Up,89
Fired Up Hits,1927,That's When I Think Of You,89
Fired Up Hits,Bros,When Will I Be Famous?,89
Fired Up Hits,Cheap Trick,The Flame,89
Fired Up Hits,Elton John,I Don't Wanna Go On With You Like That,89
Fired Up Hits,Eurogliders,Groove,89
Fired Up Hits,Fat Boys,The Twist,89
Fired Up Hits,Michael Bolton,(Sittin' On) The Dock Of The Bay,89
Fired Up Hits,Pepsi & Shirlie,Alright Now,89
Fired Up Hits,Poison,Nothin' But A Good Time,89
Fired Up Hits,Sabrina,Sexy Girl,89
Fired Up Hits,Salt 'n' Pepa,Push It,89
Fired Up Hits,Terence Trent D'Arby,Sign Your Name,89
Fired Up Hits,The Escape Club,"Wild, Wild West",89
Fired Up Hits,Tiffany,I Saw Him Standing There,89
Fired Up Hits,Transvision Vamp,I Want Your Love,89
Fired Up Hits,Underworld,Underneath The Radar,89
Fired Up Hits,Was Not Was,Walk The Dinosaur,89
Fired Up Hits,Weird Al Yankovic,Fat,89
Hits Now 89 Volume 2,1927,Compulsory Hero,89
Hits Now 89 Volume 2,Bangles,Eternal Flame,89
Hits Now 89 Volume 2,Bobby Brown,My Prerogative,89
Hits Now 89 Volume 2,Bomb The Bass,Say A Little Prayer,89
Hits Now 89 Volume 2,Collette,Ring My Bell,89
Hits Now 89 Volume 2,Daryl Braithwaite,One Summer,89
Hits Now 89 Volume 2,Dragon,Young Years,89
Hits Now 89 Volume 2,Edie Brickell & New Bohemians,What I Am,89
Hits Now 89 Volume 2,Elvis Costello,Veronica,89
Hits Now 89 Volume 2,Fine Young Cannibals,She Drives Me Crazy,89
Hits Now 89 Volume 2,Gloria Estefan & Miami Sound Machine,Can't Stay Away From You,89
Hits Now 89 Volume 2,Love And Money,Hallelujah Man,89
Hits Now 89 Volume 2,Mike & The Mechanics,The Living Years,89
Hits Now 89 Volume 2,Petula Clark,Downtown '88,89
Hits Now 89 Volume 2,Sam Kinison,Wild Thing,89
Hits Now 89 Volume 2,Samantha Fox,I Only Wanna Be With You,89
Hits Now 89 Volume 2,Tanita Tikaram,Twist In My Sobriety,89
Hits Now 89 Volume 2,The Black Sorrows,Chained To The Wheel,89
Hits Of 89 Vol 1,Bryan Ferry,Let's Stick Together,89
Hits Of 89 Vol 1,Ian Moss,Tuckers Daughter,89
Hits Of 89 Vol 1,Jimmy Barnes,Last Frontier,89
Hits Of 89 Vol 1,Johnny Diesel & The Injectors,Soul Revival,89
Hits Of 89 Vol 1,Kylie Minogue & Jason Donovan,Especially For You,89
Hits Of 89 Vol 1,Melissa Etheridge,Like The Way I Do,89
Hits Of 89 Vol 1,Neneh Cherry,Buffalo Stance,89
Hits Of 89 Vol 1,Paul Kelly & The Coloured Girls,Dumb Things,89
Hits Of 89 Vol 1,Robert Palmer,She Makes My Day,89
Hits Of 89 Vol 1,Roy Orbison,You Got It,89
Hits Of 89 Vol 1,The Cockroaches,Permanently Single,89
Hits Of 89 Vol 1,The Proclaimers,I'm Gonna Be (500 Miles),89
Hits Of 89 Vol 1,The Saints,The Music Goes Round My Head,89
Hits Of 89 Vol 1,Toni Childs,Don't Walk Away,89
Hits Of 89 Vol 1,U2,Angel Of Harlem,89
Hits Of 89 Vol 1,UB40,Where Did I Go Wrong,89
Hits Of 89 Vol 1,Womack & Womack,Teardrops,89
Hits Of 89 Vol 2,Brother Beyond,The Harder I Try,89
Hits Of 89 Vol 2,Clive Young,Something Special,89
Hits Of 89 Vol 2,James Freud,Hurricane,89
Hits Of 89 Vol 2,James Reyne,House Of Cards,89
Hits Of 89 Vol 2,Johnny Diesel & The Injectors,Cry In Shame,89
Hits Of 89 Vol 2,Julian Lennon,Now You're In Heaven,89
Hits Of 89 Vol 2,Kate Ceberano,Bedroom Eyes,89
Hits Of 89 Vol 2,Paul Norton,Stuck On You,89
Hits Of 89 Vol 2,Paula Abdul,Straight Up,89
Hits Of 89 Vol 2,Richard Marx,Satisfied,89
Hits Of 89 Vol 2,Roxette,The Look,89
Hits Of 89 Vol 2,Roy Orbison,She's A Mystery To Me,89
Hits Of 89 Vol 2,Sam Brown,Stop!,89
Hits Of 89 Vol 2,The Proclaimers,I'm On My Way,89
Hits Of 89 Vol 2,Tim Finn,How'm I Gonna Sleep,89
Hits Of 89 Vol 2,Tone Lōc,Wild Thing,89
Hits Of 89 Vol 2,U2 With B.B. King,When Love Comes To Town,89
Hits Of 89 Vol 3,Ian Moss,Telephone Booth,89
Hits Of 89 Vol 3,Roxette,Dressed For Success,89
Hits Of 89 Vol 3,Sam Brown,Can I Get A Witness,89
Hits Of 89 Vol 3,Kate Ceberano,Love Dimension,89
Hits Of 89 Vol 3,James Reyne,One More River,89
Hits Of 89 Vol 3,Paul Kelly And The Messengers,Sweet Guy,89
Hits Of 89 Vol 3,Stevie Nicks,Rooms On Fire,89
Hits Of 89 Vol 3,U2,All I Want Is You,89
Hits Of 89 Vol 3,Johnny Diesel & The Injectors,Lookin' For Love,89
Hits Of 89 Vol 3,Easterhouse,Come Out Fighting,89
Hits Of 89 Vol 3,Nick Barker And The Reptiles,(Sure Beats) Going To Pieces,89
Hits Of 89 Vol 3,Thirty Eight Special,Second Chance,89
Hits Of 89 Vol 3,Queen,I Want It All,89
Hits Of 89 Vol 3,Natalie Cole,Miss You Like Crazy,89
Hits Of 89 Vol 3,Soul II Soul,Back To Life (However Do You Want Me),89
Hits Of 89 Vol 3,Tone Lōc,Funky Cold Medina,89
Smash Hits 89,Bangles,Eternal Flame,89
Smash Hits 89,Bros,Too Much,89
Smash Hits 89,Collette,Ring My Bell,89
Smash Hits 89,Daryl Braithwaite,One Summer,89
Smash Hits 89,Ian Moss,Tucker's Daughter,89
Smash Hits 89,Indecent Obsession,Say Goodbye,89
Smash Hits 89,James Freud,Hurricane,89
Smash Hits 89,Jason Donovan,Sealed With A Kiss,89
Smash Hits 89,Julian Lennon,Now You're In Heaven,89
Smash Hits 89,Kylie Minogue,Hand On Your Heart,89
Smash Hits 89,Mental As Anything,Rock And Roll Music,89
Smash Hits 89,Neneh Cherry,Buffalo Stance,89
Smash Hits 89,New Kids On The Block,I'll Be Loving You,89
Smash Hits 89,Paul Norton,Stuck On You,89
Smash Hits 89,Poison,Fallen Angel,89
Smash Hits 89,Sinitta,Right Back Where We Started From,89
Smash Hits 89,The Black Sorrows,Chained To The Wheel,89
Smash Hits Of The 80s,Adam And The Ants,Antmusic,89
Smash Hits Of The 80s,Bananarama,Venus,89
Smash Hits Of The 80s,Bangles,Walk Like An Egyptian,89
Smash Hits Of The 80s,Billy Ocean,When The Going Gets Tough The Tough Get Going,89
Smash Hits Of The 80s,Bros,When Will I Be Famous,89
Smash Hits Of The 80s,Chantoozies,Wanna Be Up,89
Smash Hits Of The 80s,Cheap Trick,The Flame,89
Smash Hits Of The 80s,Collette,Ring My Bell,89
Smash Hits Of The 80s,Daryl Braithwaite,As The Days Go By,89
Smash Hits Of The 80s,Eurogliders,We Will Together,89
Smash Hits Of The 80s,Europe,The Final Countdown,89
Smash Hits Of The 80s,Hooters,And We Danced,89
Smash Hits Of The 80s,Jason Donovan,Too Many Broken Hearts,89
Smash Hits Of The 80s,Jimmy Barnes,Working Class Man,89
Smash Hits Of The 80s,Kids In The Kitchen,Change In Mood,89
Smash Hits Of The 80s,Kylie Minogue,I Should Be So Lucky,89
Smash Hits Of The 80s,Kylie Mole,So Excellent,89
Smash Hits Of The 80s,Mel & Kim,Respectable,89
Smash Hits Of The 80s,Men At Work,Down Under,89
Smash Hits Of The 80s,Models,Out Of Mind Out Of Sight,89
Smash Hits Of The 80s,Nena,99 Luftballoons,89
Smash Hits Of The 80s,Paul Kelly & The Coloured Girls,Darling It Hurts,89
Smash Hits Of The 80s,Romantics,What I Like About You,89
Smash Hits Of The 80s,Samantha Fox,Touch Me (I Want Your Body),89
Smash Hits Of The 80s,Split Enz,I Got You,89
Smash Hits Of The 80s,Steve Perry,Oh Sherrie,89
Smash Hits Of The 80s,Terence Trent D'Arby,Sign Your Name,89
Smash Hits Of The 80s,The Black Sorrows,Hold On To Me,89
Smash Hits Of The 80s,The Clash,Rock The Casbah,89
Smash Hits Of The 80s,Uncanny X-Men,How Do You Get Your Kicks,89
Smash Hits Of The 80s,Wham!,I'm Your Man,89
Smash Hits Of The 80s,Yazz,The Only Way Is Up,89
Lets Do It 2,Black Box,Ride On Time,90
Lets Do It 2,The B-52's,Love Shack,90
Lets Do It 2,Kaoma,Lambada,90
Lets Do It 2,Lisa Stansfield,All Around The World,90
Lets Do It 2,Milli Vanilli,Girl I'm Gonna Miss You,90
Lets Do It 2,Bad English,When I See You Smile,90
Lets Do It 2,Aerosmith,Janie's Got A Gun,90
Lets Do It 2,Martika,I Feel The Earth Move,90
Lets Do It 2,Technotronic featuring Felly,Pump Up The Jam,90
Lets Do It 2,Alannah Myles,Black Velvet,90
Lets Do It 2,Phil Collins,Another Day In Paradise,90
Lets Do It 2,Linda Ronstadt featuring Aaron Neville,Don't Know Much,90
Lets Do It 2,Michael Bolton,How Am I Supposed To Live Without You,90
Lets Do It 2,Girl Overboard,The Love We Make,90
Lets Do It Summer 1990,Alice Cooper,Poison,90
Lets Do It Summer 1990,Bobby Brown,Every Little Step,90
Lets Do It Summer 1990,Boom Crash Opera,Get Out Of The House,90
Lets Do It Summer 1990,Cher,If I Could Turn Back Time,90
Lets Do It Summer 1990,Elton John,Healing Hands,90
Lets Do It Summer 1990,Fine Young Cannibals,Don't Look Back,90
Lets Do It Summer 1990,Indecent Obsession,Tell Me Something,90
Lets Do It Summer 1990,Jenny Morris,She Has To Be Loved,90
Lets Do It Summer 1990,John Farnham & Danni'elle,Communication,90
Lets Do It Summer 1990,Madonna,Cherish,90
Lets Do It Summer 1990,Martika,Toy Soldiers,90
Lets Do It Summer 1990,Max Q,Way Of The World,90
Lets Do It Summer 1990,Mental As Anything,The World Seems Difficult,90
Lets Do It Summer 1990,Motley Crue,Dr Feelgood,90
Lets Do It Summer 1990,New Kids On The Block,Hangin' Tough,90
Lets Do It Summer 1990,The Hummingbirds,Blush,90
Beat the Heat Summer 1991,1927,The Other Side,91
Beat the Heat Summer 1991,Bell Biv Devoe,Do Me!,91
Beat the Heat Summer 1991,Betty Boo,Doin' The Do,91
Beat the Heat Summer 1991,Dave Stewart & The Spiritual Cowboys,Jack Talking,91
Beat the Heat Summer 1991,Deee-Lite,Groove Is In The Heart,91
Beat the Heat Summer 1991,INXS,Suicide Blonde,91
Beat the Heat Summer 1991,John Farnham,Chain Reaction,91
Beat the Heat Summer 1991,Margaret Urlich,Number One (Remember When We Danced All Night),91
Beat the Heat Summer 1991,Mark Williams,Fix Of Love,91
Beat the Heat Summer 1991,New Kids On The Block,Tonight,91
Beat the Heat Summer 1991,Prince,Thieves In The Temple,91
Beat the Heat Summer 1991,Seiko,The Right Combination,91
Beat the Heat Summer 1991,Snap,Ooops Up,91
Beat the Heat Summer 1991,Sweet Sensation,If Wishes Came True,91
Beat the Heat Summer 1991,Taylor Dayne,I'll Be Your Shelter,91
Beat the Heat Summer 1991,Technotronic,Megamix (Radio Version),91
Beat the Heat Summer 1991,Warrant,Cherry Pie,91
