Album,Artist,Song,Year
1982 The Winners,Steve Miller Band,Abracadabra,82
1982 The Winners,Swanee,Lady What's Your Name,82
1982 The Winners,The Quick,The Rhythm Of The Jungle,82
1982 The Winners,Toto,Rosanna,82
1982 The Winners,Trio,Da Da Da I Don't Love You You Don't Love Me Aha Aha Aha,82
1982 Up In Lights,America,You Can Do Magic,82
1982 Up In Lights,Bananarama,Shy Boy,82
1982 Up In Lights,Billy Idol,Hot In The City,82
1982 Up In Lights,Daryl Hall & John Oates,Maneater,82
1982 Up In Lights,Frida,I Know There's Something Going On,82
1982 Up In Lights,Jo Jo Zep,Taxi Mary,82
1982 Up In Lights,Joan Jett & The Blackhearts,Do You Wanna Touch Me (Oh Yeah),82
1982 Up In Lights,Joe Cocker,Sweet Little Women,82
1982 Up In Lights,Joe Jackson,Real Men,82
1982 Up In Lights,Kim Carnes,Voyeur,82
1982 Up In Lights,Little River Band,Down On The Border,82
1982 Up In Lights,Madness,House Of Fun,82
1982 Up In Lights,Melissa Manchester,You Should Hear How She Talks About You,82
1982 Up In Lights,Missing Persons,Words,82
1982 Up In Lights,Moving Pictures,Winners,82
1982 Up In Lights,Olivia Newton-John,Heart Attack,82
1982 Up In Lights,Pointer Sisters,I'm So Excited,82
1982 Up In Lights,Rose Tattoo,We Can't Be Beaten,82
1982 Up In Lights,Rough Trade,All Touch,82
1982 Up In Lights,Yazoo,Don't Go,82
1982... With A Bullet,Barry Manilow,Let's Hang On,82
1982... With A Bullet,Bill Wyman,Come Back Suzanne,82
1982... With A Bullet,Cliff Richard,Daddy's Home,82
1982... With A Bullet,Depeche Mode,Just Can't Get Enough,82
1982... With A Bullet,Diana Ross,Why Do Fools Fall In Love,82
1982... With A Bullet,Duran Duran,My Own Way,82
1982... With A Bullet,Jo Kennedy,Body And Soul,82
1982... With A Bullet,Kim Wilde,Cambodia,82
1982... With A Bullet,Mental As Anything,Berserk Warriors,82
1982... With A Bullet,Moving Pictures,What About Me,82
1982... With A Bullet,Olivia Newton-John,Make A Move On Me,82
1982... With A Bullet,Pete Shelley,Homosapien,82
1982... With A Bullet,Split Enz,Dirty Creature,82
1982... With A Bullet,The Church,Almost With You,82
1982... With A Bullet,The J. Geils Band,Centerfold,82
1982... With A Bullet,The Stranglers,Golden Brown,82
1982... With A Bullet,Tight Fit,The Lion Sleeps Tonight,82
1982... With A Bullet,Toni Basil,Mickey,82
RockTrip 82,ABC,Poison Arrow,82
RockTrip 82,Adam Ant,Goody Two Shoes,82
RockTrip 82,Bertie Higgins,Key Largo,82
RockTrip 82,Charlene,I've Never Been To Me,82
RockTrip 82,Cold Chisel,Forever Now,82
RockTrip 82,Dr. Hook,Baby Makes Her Blue Jeans Talk,82
RockTrip 82,Eurogliders,Without You,82
RockTrip 82,Joey Scarbury,Believe It Or Not,82
RockTrip 82,John Cougar,Hurts So Good,82
RockTrip 82,Men At Work,Be Good Johnny,82
RockTrip 82,Mondo Rock,No Time,82
RockTrip 82,Prince,Controversy,82
RockTrip 82,Roxy Music,More Than This,82
RockTrip 82,Simple Minds,Promised You A Miracle,82
RockTrip 82,Swanee,Temporary Heartache,82
RockTrip 82,The Human League,Don't You Want Me,82
RockTrip 82,The Waitresses,I Know What Boys Like,82
RockTrip 82,Tommy Tutone,867-5309/Jenny,82
1983 Summer Breaks,Air Supply,Making Love Out Of Nothing At All,83
1983 Summer Breaks,Australian Crawl,Reckless (Don't Be So...),83
1983 Summer Breaks,Eurythmics,Who's That Girl?,83
1983 Summer Breaks,F.R. David,Words,83
1983 Summer Breaks,Freeez,I.O.U.,83
1983 Summer Breaks,Graham Parker,Life Gets Better,83
1983 Summer Breaks,JoBoxers,Just Got Lucky,83
1983 Summer Breaks,John Paul Young,Soldier Of Fortune,83
1983 Summer Breaks,Kim Wilde,Love Blonde,83
1983 Summer Breaks,Men Without Hats,The Safety Dance,83
1983 Summer Breaks,Models,I Hear Motion,83
1983 Summer Breaks,Peabo Bryson & Roberta Flack,Tonight I Celebrate My Love,83
1983 Summer Breaks,Stray Cats,(She's) Sexy And 17,83
1983 Summer Breaks,Taco,Puttin' On The Ritz,83
1983 Summer Breaks,The Allniters,Montego Bay,83
1983 Summer Breaks,The Motels,Suddenly Last Summer,83
1983 Summer Breaks,Tim Finn,Made My Day,83
1983 Summer Breaks,Yazoo,Nobody's Diary,83
1983 The Hot Ones,Billy Idol,White Wedding,83
1983 The Hot Ones,Boys Town Gang,Can't Take My Eyes Off You,83
1983 The Hot Ones,Captain Sensible,Wot,83
1983 The Hot Ones,Chas And Dave,Ain't No Pleasing You,83
1983 The Hot Ones,Chris De Burgh,Don't Pay The Ferryman,83
1983 The Hot Ones,Dennis Waterman,I Could Be So Good For You,83
1983 The Hot Ones,Dionne Warwick,Heartbreaker,83
1983 The Hot Ones,Divinyls,Science Fiction,83
1983 The Hot Ones,Grand Master Flash & The Furious Five,The Message,83
1983 The Hot Ones,Joe Cocker And Jennifer Warnes,Up Where We Belong,83
1983 The Hot Ones,Joe Jackson,Steppin' Out,83
1983 The Hot Ones,Kajagoogoo,Too Shy,83
1983 The Hot Ones,Little River Band,The Other Guy,83
1983 The Hot Ones,Madness,Our House,83
1983 The Hot Ones,Monte Video And The Cassettes,Shoop Shoop Diddy Wop Cumma Cumma Wang Dang,83
1983 The Hot Ones,Skyhooks,Hooked On Hooks,83
1983 The Hot Ones,Supertramp,It's Raining Again,83
1983 The Hot Ones,The Belle Stars,The Clapping Song,83
1983 The Hot Ones,Thomas Dolby,She Blinded Me With Science,83
1983 The Hot Ones,Toto Coelo,I Eat Cannibals (Pt. 1),83
Go For It 1983,Blancmange,Living On The Ceiling,83
Go For It 1983,Icehouse,Hey Little Girl,83
Go For It 1983,The Psychedelic Furs,Love My Way,83
Go For It 1983,Culture Club,Do You Really Want To Hurt Me,83
Go For It 1983,Fat Larry's Band,Zoom,83
Go For It 1983,Big Red ,The Traveller,83
Go For It 1983,Kevin Rowland & Dexys Midnight Runners,Jackie Wilson Said (I'm In Heaven When You Smile),83
Go For It 1983,The Angels,Stand Up,83
Go For It 1983,Devo,Peek-A-Boo,83
Go For It 1983,Laura Branigan,Gloria,83
Go For It 1983,Mi-Sex,Down The Line,83
Go For It 1983,Peter Gabriel,Shock The Monkey,83
Go For It 1983,INXS,Don't Change,83
Go For It 1983,The Pretenders,Back On The Chain Gang,83
Go For It 1983,Dire Straits,Twisting By The Pool,83
Go For It 1983,Mental As Anything,Close Again,83
Go For It 1983,Toto,Africa,83
Go For It 1983,Lionel Ritchie,Truly,83
Keep On Dancing,Duran Duran,Is There Something I Should Know?,83
Keep On Dancing,Rick Springfield,Affair Of The Heart,83
Keep On Dancing,Hot Chocolate,What Kinda' Boy You're Lookin' For (Girl),83
Keep On Dancing,Eurythmics,Love Is A Stranger,83
Keep On Dancing,Real Life,Send Me An Angel,83
Keep On Dancing,Kajagoogoo,Ooh To Be Ah,83
Keep On Dancing,Sylvester,Do Ya Wanna Funk,83
Keep On Dancing,The Honeymoon,Love Wakes Up,83
Keep On Dancing,Bananarama,Na Na Hey Hey Kiss Him Goodbye,83
Keep On Dancing,Naked Eyes,Always Something There To Remind Me,83
Keep On Dancing,Greg Kihn Band,Jeopardy,83
Keep On Dancing,Haysi Fantayzee,Shiny Shiny,83
Keep On Dancing,Flash And The Pan,Waiting For A Train,83
Keep On Dancing,Toto Coelo,Dracula's Tango (Sucker For Your Love),83
Keep On Dancing,George Clinton,Atomic Dog,83
Keep On Dancing,The Radiators,No Tragedy,83
Keep On Dancing,Julius Brown,Party,83
Keep On Dancing,Thomas Dolby,She Blinded Me With Science (Extended Dance Mix),83
The Breakers 83,After The Fire,Der Komissar,83
The Breakers 83,Bonnie Tyler,Total Eclipse Of The Heart,83
The Breakers 83,Elton John,I’m Still Standing,83
The Breakers 83,Icehouse,Street Cafe,83
The Breakers 83,INXS,Black And White,83
The Breakers 83,Laura Branigan,Solitaire,83
The Breakers 83,Malcolm McLaren,Buffalo Gals,83
The Breakers 83,Men At Work,Overkill,83
The Breakers 83,Michael Jackson,Beat It,83
The Breakers 83,New Edition,Candy Girl,83
The Breakers 83,Prince,Little Red Corvette,83
The Breakers 83,Stevie Nicks,Stand Back,83
The Breakers 83,Tears For Fears,Mad World,83
The Breakers 83,The Call,The Walls Came Down,83
The Breakers 83,The Cure,Let’s Go To Bed,83
The Breakers 83,The Style Council,Speak Like A Child,83
The Breakers 83,The Weather Girls,It’s Raining Men,83
The Breakers 83,Wham,Wham Rap,83
Thru The Roof 83,Austen Tayshus,Australiana,83
Thru The Roof 83,Billy Joel,Tell Her About It,83
Thru The Roof 83,Cold Chisel,No Sense,83
Thru The Roof 83,Culture Club,Karma Chameleon,83
Thru The Roof 83,Donna Summer,She Works Hard For The Money,83
Thru The Roof 83,Dragon,Rain,83
Thru The Roof 83,Elton John,I Guess That's Why They Call It The Blues,83
Thru The Roof 83,Jon English,Some People (Have All The Fun),83
Thru The Roof 83,K.C. & The Sunshine Band,Give It Up,83
Thru The Roof 83,Malcolm McLaren,Double Dutch,83
Thru The Roof 83,Michael Jackson,Wanna Be Startin' Somethin',83
Thru The Roof 83,Michael Sembello,Maniac,83
Thru The Roof 83,Mike Oldfield,Moonlight Shadow,83
Thru The Roof 83,Pat Wilson,Bop Girl,83
Thru The Roof 83,Paul Young,Wherever I Lay My Hat,83
Thru The Roof 83,Sharon O'Neill,Maxine,83
Thru The Roof 83,The Blues Brothers,Shake A Tail Feather,83
Thru The Roof 83,UB40,Red Red Wine,83
1984 Shakin,Billy Idol,Dancing With Myself,84
